time,value
2023-04-04T16:21:47.436Z,162
2023-04-04T16:21:49.006Z,68
2023-04-04T16:21:58.873Z,67
2023-04-04T16:22:04.895Z,66
2023-04-04T16:22:10.916Z,65
2023-04-04T16:22:14.932Z,64
2023-04-04T16:22:24.974Z,63
2023-04-04T16:22:33.001Z,62
2023-04-04T16:22:43.143Z,61
2023-04-04T16:22:53.104Z,60
2023-04-04T16:23:05.19Z,59
2023-04-04T16:25:55.759Z,60
2023-04-04T16:26:35.903Z,73
2023-04-04T16:26:37.959Z,81
2023-04-04T16:27:11.893Z,80
2023-04-04T16:27:25.955Z,79
2023-04-04T16:27:33.981Z,78
2023-04-04T16:27:40.004Z,77
2023-04-04T16:27:54.135Z,76
2023-04-04T16:28:00.082Z,75
2023-04-04T16:28:04.098Z,74
2023-04-04T16:28:10.099Z,73
2023-04-04T16:28:26.152Z,72
2023-04-04T16:28:36.182Z,71
2023-04-04T16:28:46.215Z,70
2023-04-04T16:28:58.34Z,69
2023-04-04T16:29:24.33Z,68
2023-04-04T16:29:42.475Z,67
2023-04-04T16:30:15.455Z,86
2023-04-04T16:30:15.977Z,87
2023-04-04T16:30:32.038Z,88
2023-04-04T16:30:54.157Z,87
2023-04-04T16:31:02.144Z,88
2023-04-04T16:31:12.179Z,87
2023-04-04T16:31:16.172Z,86
2023-04-04T16:31:30.215Z,85
2023-04-04T16:31:54.371Z,84
2023-04-04T16:32:02.561Z,83
2023-04-04T16:32:12.39Z,82
2023-04-04T16:32:18.432Z,81
2023-04-04T16:32:32.462Z,80
2023-04-04T16:32:38.503Z,79
2023-04-04T16:32:48.641Z,78
2023-04-04T16:32:58.574Z,77
2023-04-04T16:33:18.66Z,76
2023-04-04T16:33:30.626Z,75
2023-04-04T16:34:02.78Z,74
2023-04-04T16:34:09.026Z,73
2023-04-04T16:34:28.789Z,72
2023-04-04T16:34:38.825Z,71
2023-04-04T16:34:46.914Z,70
2023-04-04T16:34:54.896Z,69
2023-04-04T16:35:06.885Z,68
2023-04-04T16:35:12.929Z,67
2023-04-04T16:35:17.021Z,66
2023-04-04T16:35:23.064Z,65
2023-04-04T16:35:29.001Z,64
2023-04-04T16:35:37.091Z,63
2023-04-04T16:35:43.223Z,62
2023-04-04T16:35:51.122Z,61
2023-04-04T16:35:57.165Z,60
2023-04-04T16:36:05.15Z,59
2023-04-04T16:36:09.167Z,58
2023-04-04T16:36:15.183Z,57
2023-04-04T16:36:25.229Z,56
2023-04-04T16:36:35.257Z,55
2023-04-04T16:36:47.34Z,54
2023-04-04T16:36:59.322Z,53
2023-04-04T16:37:21.44Z,52
2023-04-04T16:37:49.499Z,51
2023-04-04T16:38:15.507Z,50
2023-04-04T16:38:43.668Z,49
2023-04-04T16:39:09.676Z,48
2023-04-04T16:43:32.643Z,47
2023-04-04T16:45:20.885Z,46
2023-04-04T16:48:09.236Z,47
2023-04-04T16:49:01.475Z,48
2023-04-04T16:49:29.478Z,49
2023-04-04T16:50:51.739Z,50
2023-04-04T16:51:31.802Z,51
2023-04-04T16:52:34.044Z,52
2023-04-04T16:53:20.221Z,53
2023-04-04T16:54:32.438Z,54
2023-04-04T16:57:28.966Z,55
2023-04-04T16:59:35.316Z,54
2023-04-04T17:01:11.682Z,53
2023-04-04T17:01:59.804Z,52
2023-04-04T17:03:25.998Z,51
2023-04-04T17:04:00.432Z,50
2023-04-04T17:05:00.294Z,49
2023-04-04T17:05:54.407Z,50
2023-04-04T17:06:06.631Z,50
2023-04-04T17:06:08.695Z,51
2023-04-04T17:21:32.92Z,55
2023-04-04T17:22:04.763Z,56
2023-04-04T17:23:12.959Z,55
2023-04-04T17:24:27.319Z,54
2023-04-04T17:26:39.706Z,55
2023-04-04T17:27:31.84Z,56
2023-04-04T17:28:11.87Z,57
2023-04-04T17:29:18.123Z,58
2023-04-04T17:30:10.245Z,59
2023-04-04T17:32:10.687Z,60
2023-04-04T17:34:53.075Z,61
2023-04-04T17:40:42.161Z,62
2023-04-04T17:44:42.813Z,63
2023-04-05T09:35:55.785Z,55
2023-04-05T09:35:57.526Z,56
2023-04-05T09:36:15.651Z,57
2023-04-05T09:37:19.857Z,58
2023-04-05T09:38:40.036Z,59
2023-04-05T09:40:58.383Z,60
2023-04-05T09:46:43.497Z,61
2023-04-05T09:52:46.402Z,62
2023-04-05T09:52:52.423Z,61
2023-04-05T10:00:11.766Z,62
2023-04-05T10:04:02.368Z,61
2023-04-05T10:05:50.571Z,62
2023-04-05T10:06:26.721Z,61
2023-04-05T10:28:08.35Z,60
2023-04-05T10:28:32.505Z,61
2023-04-05T10:35:25.502Z,60
2023-04-05T10:37:05.782Z,61
2023-04-05T10:37:15.837Z,60
2023-04-05T10:39:12.218Z,61
2023-04-05T11:29:56.29Z,62
2023-04-05T11:50:07.905Z,63
2023-04-05T12:39:54.134Z,62
2023-04-05T13:42:38.72Z,61
2023-04-05T13:57:42.876Z,60
2023-04-05T14:05:12.243Z,61
2023-04-05T14:05:14.282Z,62
2023-04-05T14:05:18.273Z,63
2023-04-05T14:05:20.221Z,62
2023-04-05T14:05:22.269Z,66
2023-04-05T14:05:24.233Z,85
2023-04-05T14:05:28.308Z,86
2023-04-05T14:05:42.339Z,85
2023-04-05T14:06:14.492Z,84
2023-04-05T14:06:22.479Z,83
2023-04-05T14:06:32.516Z,82
2023-04-05T14:06:38.558Z,81
2023-04-05T14:06:56.682Z,80
2023-04-05T14:07:04.67Z,79
2023-04-05T14:07:10.71Z,78
2023-04-05T14:07:16.836Z,77
2023-04-05T14:07:28.735Z,76
